Game,Time,GrSubject,BR1,BR2,BR3,twdbr1,twdbr2,twdbr3
29,12,3,-6.2332993,28.423197,92.810104,1,0,0
29,13,1,92.54301,-6.627789,29.084782,1,1,1
29,13,2,-24.678299,88.6789,50.9994,1,1,1
29,13,3,-13.609068,26.754053,101.85501,0,1,0
29,14,1,94.22113,-2.46685,23.245722,0,0,0
29,14,2,-8.391433,86.981415,36.410015,1,0,1
29,14,3,2.3451521,17.502886,95.15196,1,1,0
29,15,1,90.55959,-0.86025953,25.300669,1,1,1
29,15,2,-19.522497,87.577415,46.94508,1,1,1
29,15,3,-7.7356877,34.53653,88.19916,1,1,0
29,16,1,94.189896,-3.8693683,24.67947,1,1,1
29,16,2,-22.29632,89.98435,47.311966,1,1,0
29,16,3,-12.871204,27.205458,100.66575,1,0,0
29,17,1,94.89788,-3.7653923,23.867514,1,0,1
29,17,2,3.9026725,63.78828,47.309048,1,1,1
29,17,3,4.853731,21.118593,89.02768,1,0,0
29,18,1,78.03456,3.0900283,33.87541,0,0,1
29,18,2,-3.134232,84.04402,34.09021,0,1,1
29,18,3,14.557498,20.750866,79.691635,1,0,0
29,19,1,90.01395,-0.7608575,25.746912,1,0,0
29,19,2,8.35899,63.57545,43.06556,1,1,1
29,19,3,8.1553955,18.05328,88.79133,0,1,0
29,20,1,97.7517,-18.851936,36.100235,1,0,1
29,20,2,7.001546,65.36421,42.634243,1,1,1
29,20,3,19.882929,-0.84865487,95.96573,1,1,0
29,21,1,72.31036,4.924284,37.765354,0,1,1
29,21,2,2.4112122,82.20225,30.386543,1,1,1
29,21,3,10.188966,19.688913,85.12212,0,1,1
29,22,1,96.217636,-4.1682425,22.950603,1,0,0
29,22,2,16.175154,88.36648,10.458367,0,1,1
29,22,3,17.907194,-19.5072,116.600006,1,1,1
29,23,1,96.83441,-19.254406,37.419994,1,0,1
29,23,2,19.759384,51.676605,43.56401,1,0,1
29,23,3,28.767742,-2.0696816,88.30194,0,1,0
29,24,1,93.7236,-22.442059,43.718456,1,1,1
29,24,2,8.34028,72.87057,33.78915,1,1,0
29,24,3,27.810547,0.6034769,86.585976,0,1,0
29,25,1,93.2809,-21.972443,43.691544,1,1,1
29,25,2,-0.9222324,80.8561,35.066128,1,1,1
29,25,3,25.0163,-11.41161,101.39531,1,1,0
29,26,1,89.56148,-0.8051662,26.24369,1,1,0
29,26,2,0.25512192,82.37553,32.36935,1,1,1
29,26,3,18.54336,22.374453,74.082184,1,1,0
29,27,1,58.522423,13.323626,43.15395,0,1,0
29,27,2,0.25512192,82.37553,32.36935,0,0,0
29,27,3,11.608273,10.720834,92.67089,0,1,0
29,28,1,87.80909,0.55529284,26.635618,1,1,0
29,28,2,0.25512192,82.37553,32.36935,1,1,1
29,28,3,10.360027,13.222589,91.41738,0,1,0
29,29,1,90.521484,-8.300903,32.779423,1,1,0
29,29,2,0.25512192,82.37553,32.36935,1,1,1
29,29,3,14.284188,2.1467495,98.56906,1,1,0
29,30,1,87.80909,0.55529284,26.635618,1,1,0
29,30,2,0.25512192,82.37553,32.36935,1,1,1
29,30,3,10.360027,13.222589,91.41738,0,1,0
29,31,1,94.66358,-31.784452,52.120872,1,0,1
29,31,2,0.25512192,82.37553,32.36935,1,1,1
29,31,3,39.76418,-15.198261,90.43408,1,0,0
29,32,1,91.993576,-18.411953,41.418373,1,0,0
29,32,2,0.25512192,82.37553,32.36935,1,1,1
29,32,3,23.011166,-7.8762736,99.86511,1,1,0
29,33,1,90.83358,-10.331952,34.49837,1,1,0
29,33,2,0.25512192,82.37553,32.36935,0,1,0
29,33,3,28.094551,12.207112,74.69833,1,1,0
31,2,1,95.58982,21.70509,-2.2949095,1,0,1
31,2,2,12.975,97.3,4.725,0,0,0
31,2,3,4.438671,20.188671,90.37266,1,0,0
31,3,1,99.49,21.255,-5.745,1,1,1
31,3,2,12.97875,104.605,-2.58375,0,1,0
31,3,3,19.39118,30.82868,64.78014,0,1,1
31,4,1,84.01788,28.451996,2.5301218,1,1,1
31,4,2,18.564688,102.76125,-6.3259373,0,0,1
31,4,3,14.67375,19.36125,80.965,0,1,1
31,5,1,103.80844,17.730547,-6.5389843,0,0,0
31,5,2,26.227936,95.97772,-7.2056584,1,1,1
31,5,3,23.962969,12.970781,78.06625,0,1,1
31,6,1,103.27711,25.35412,-13.63123,1,0,0
31,6,2,21.93955,98.311325,-5.250879,0,0,0
31,6,3,13.539726,26.24871,75.21156,1,0,1
31,7,1,100.569275,25.140287,-10.709565,1,0,1
31,7,2,17.142197,101.98074,-4.1229396,0,1,0
31,7,3,15.460122,22.229897,77.30998,0,1,1
31,8,1,101.35967,24.00269,-10.362362,1,0,0
31,8,2,23.432417,101.28018,-9.712603,1,1,1
31,8,3,19.1375,21.302357,74.56014,0,1,1
31,9,1,101.22992,27.423775,-13.653693,1,0,0
31,9,2,27.613716,92.94382,-5.5575323,0,1,0
31,9,3,17.053177,25.229385,72.71744,1,1,1
31,10,1,99.415596,26.082355,-10.497951,1,0,0
31,10,2,28.018541,84.63133,2.3501291,0,1,1
31,10,3,17.053177,25.229385,72.71744,1,1,1
31,11,1,78.239296,27.295506,9.465199,1,1,1
